1 O
. O
система B-SYSTEM
принудительный I-SYSTEM
вентиляция I-SYSTEM
картер I-SYSTEM
( I-SYSTEM
pcv I-SYSTEM
) I-SYSTEM
, O
содержать O
: O
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
, O
присоединить O
к O
маслоотделитель B-COMPONENT
pcv O
и O
продолжаться O
через O
корпус B-COMPONENT
картер B-COMPONENT
двигатель I-COMPONENT
; O
и O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
, O
расположить O
в O
стенка B-COMPONENT
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
и O
в O
сообщение O
по O
текучий O
среда O
с O
уплотнить B-ATTRIBUTE
камера B-COMPONENT
картер I-COMPONENT
двигатель I-COMPONENT
, O
причем O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
открываться O
при O
превышение O
давление O
в O
камера B-COMPONENT
картер I-COMPONENT
двигатель I-COMPONENT
пороговый O
значение O
и O
закрываться O
при O
падение O
давление O
в O
камера B-COMPONENT
картер I-COMPONENT
двигатель I-COMPONENT
низкий O
другой O
пороговый O
значение O
. O
2 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
стенка B-COMPONENT
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
расположить O
в O
крышка B-COMPONENT
газораспределительный B-COMPONENT
механизм I-COMPONENT
. O
3 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
стенка B-COMPONENT
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
расположить O
в O
головка B-COMPONENT
блок B-COMPONENT
цилиндр I-COMPONENT
. O
4 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
стенка B-COMPONENT
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
расположить O
в O
блок B-COMPONENT
цилиндр I-COMPONENT
. O
5 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
стенка B-COMPONENT
обратный B-COMPONENT
масляный I-COMPONENT
магистраль I-COMPONENT
расположить O
в O
обвязка B-COMPONENT
коленчатый B-COMPONENT
вал I-COMPONENT
, O
присоединить O
к O
блок B-COMPONENT
цилиндр I-COMPONENT
. O
6 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
расположить O
низкий O
цилиндр B-COMPONENT
. O
7 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
расположить O
вертикально O
над O
коленчатый B-COMPONENT
вал I-COMPONENT
. O
8 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
расположить O
между O
два B-ATTRIBUTE
шатун B-COMPONENT
. O
9 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
расположить O
в O
сообщение O
по O
текучий O
среда O
с O
впускной B-COMPONENT
трубопровод I-COMPONENT
. O
10 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
пороговый O
значение O
эквивалентный O
. O
11 O
. O
система O
pcv O
по O
п O
. O
10 O
, O
в O
который O
пороговый O
значение O
заранее O
задать O
. O
12 O
. O
система B-SYSTEM
pcv I-SYSTEM
по O
п O
. O
1 O
, O
в O
который O
перепускной B-COMPONENT
клапан I-COMPONENT
pcv O
являться O
створчатый B-COMPONENT
клапан I-COMPONENT
. O
13 O
. O

полезный O
модель O
относиться O
к O
область O
трубопроводный O
транспорт O
, O
а O
именно O
к O
устройство O
для O
откачка O
остаток O
нефть O
из O
нефтепровод O
. O
технический O
результат O
являться O
сокращение O
время O
производство O
работа O
по O
откачка O
нефть O
из O
нефтепровод O
. O
устройство B-SYSTEM
для I-SYSTEM
откачка I-SYSTEM
нефть I-SYSTEM
до I-SYSTEM
нижний I-SYSTEM
образовать I-SYSTEM
нефтепровод I-SYSTEM
, O
содержать O
корпус B-COMPONENT
, O
труба B-COMPONENT
, O
установить O
в O
корпус B-COMPONENT
с O
возможность O
вертикальный O
перемещение O
относительно O
его O
продольный B-COMPONENT
ось I-COMPONENT
, O
привод B-COMPONENT
ручной I-COMPONENT
подача I-COMPONENT
, O
шток B-COMPONENT
, O
установить O
в O
труба B-COMPONENT
, O
уплотнительный B-COMPONENT
узел I-COMPONENT
, O
технологический B-COMPONENT
обвязка I-COMPONENT
, O
установить O
в O
нижний B-ATTRIBUTE
часть I-ATTRIBUTE
корпус B-COMPONENT
и O
состоять O
из O
последовательно O
соединить O
между O
себя O
обводный B-COMPONENT
трубопровод I-COMPONENT
, O
тройник B-COMPONENT
с O
наконечник B-COMPONENT
, O
выполнить O
с O
возможность O
соединение O
с O
временной B-COMPONENT
трубопровод I-COMPONENT
, O
кран B-COMPONENT
шаровой I-COMPONENT
, O
тройник B-COMPONENT
, O
кран B-COMPONENT
шаровой I-COMPONENT
для I-COMPONENT
впуск I-COMPONENT
воздух I-COMPONENT
, O
при O
это O
тройник B-COMPONENT
выполнить O
с O
возможность O
крепление O
к O
корпус B-COMPONENT
и O
к O
вантуз B-COMPONENT
и O
соединить O
с O
кран B-COMPONENT
шаров I-COMPONENT
для O
впуск B-ATTRIBUTE
воздух I-ATTRIBUTE
и O
кран B-COMPONENT
шаров I-COMPONENT
, O
а O
тройник B-COMPONENT
с O
наконечник O
соединить O
с O
обводный B-COMPONENT
трубопровод I-COMPONENT
и O
шаровой B-COMPONENT
кран I-COMPONENT
. O

контроллер B-SYSTEM
запуск I-SYSTEM
, O
применять O
в O
гибридный B-COMPONENT
система I-COMPONENT
, O
содержать O
секция B-COMPONENT
управление I-COMPONENT
привод I-COMPONENT
, O
который O
автоматически O
останавливать O
двигатель B-COMPONENT
и O
ограничивать O
объем B-COMPONENT
всасывать O
в O
он O
воздух B-COMPONENT
, O
останавливать O
впрыск B-COMPONENT
топливо I-COMPONENT
, O
при O
удовлетворение B-ATTRIBUTE
задать B-COMPONENT
условие I-COMPONENT
и O
секция B-COMPONENT
обнаружение I-COMPONENT
угол I-COMPONENT
остановка I-COMPONENT
поворот I-COMPONENT
коленчатый B-COMPONENT
вал I-COMPONENT
, O
когда O
двигатель B-COMPONENT
автоматически O
останавливаться O
. O

изобретение O
относиться O
к O
устройство O
, O
содержать O
линейный B-SYSTEM
привод I-SYSTEM
и O
линейный B-ATTRIBUTE
компрессор B-SYSTEM
с O
изменяемый O
мощность O
. O
линейный B-SYSTEM
привод I-SYSTEM
( O
2 O
) O
иметь O
статор B-COMPONENT
( O
4 O
) O
и O
ползун B-COMPONENT
( O
5 O
) O
, O
выполнить O
с O
возможность O
возвратный O
- O
поступательный O
движение O
внутри O
статор B-COMPONENT
вдоль O
ось O
( O
9 O
) O
привод B-COMPONENT
между O
первый B-ATTRIBUTE
( O
11 O
) O
и O
второй B-ATTRIBUTE
( O
12 O
) O
точка B-COMPONENT
возврат I-COMPONENT
ползун B-COMPONENT
относительно O
нулевой O
положение O
( O
13 O
) O
ползун B-COMPONENT
и O
/ O
или O
с O
линейный B-ATTRIBUTE
компрессор B-SYSTEM
( O
3 O
) O
. O
компрессор B-SYSTEM
иметь O
поршневой B-COMPONENT
цилиндр I-COMPONENT
( O
7 O
) O
и O
поршень B-COMPONENT
( O
6 O
) O
, O
приводить O
в O
движение O
линейный B-COMPONENT
привод I-COMPONENT
( O
2 O
) O
, O
с O
возможность O
возвратный O
- O
поступательный O
движение O
поршень B-COMPONENT
внутри O
цилиндр B-COMPONENT
вдоль O
ось O
( O
8 O
) O
поршень B-COMPONENT
между O
первый B-ATTRIBUTE
( O
21 O
) O
и O
второй B-ATTRIBUTE
( O
22 O
) O
точка B-COMPONENT
возврат I-COMPONENT
поршень B-COMPONENT
относительно O
нулевой O
положение O
( O
23 O
) O
поршень B-COMPONENT
. O
иметься O
возможность O
регулирование O
нулевой O
положение O
( O
13 O
) O
ползун B-COMPONENT
или O
нулевой O
положение O
( O
23 O
) O
поршень B-COMPONENT
, O
и O
/ O
или O
на O
ползун B-COMPONENT
( O
5 O
) O
либо O
на O
поршень B-COMPONENT
( O
6 O
) O
компрессор B-SYSTEM
воздействовать O
по O
малый O
мера O
один O
упругий B-COMPONENT
элемент I-COMPONENT
( O
14 O
, O
15 O
) O
с O
возможность O
изменение O
длина O
последний O
, O
в O
частность O
он O
укорочение O
, O
и O
/ O
или O
с O
возможность O
изменение O
, O
в O
частность O
увеличение O
коэффициент O
упругость O
последний O
. O
регулировка O
мощность O
, O
вырабатывать O
устройство O
, O
не O
оказывать O
существенный O
влияние O
на O
электромеханический O
коэффициент O
полезный O
действие O
устройство O
, O
благодаря O
что O
иметься O
возможность O
производить O
линейный B-SYSTEM
привод I-SYSTEM
( O
2 O
) O
и O
линейный B-ATTRIBUTE
компрессор B-SYSTEM
( O
3 O
) O
с O
значительно O
малый O
затрата O
, O
так O
как O
значительно O
сокращаться O
количество O
тип O
составлять O
деталь O
. O
3 O
н O
. O
и O
7 O
з O
. O
п O
. O
ф O
- O
лы O
, O
3 O
ил O
. O

звукоизолирующий B-SYSTEM
кожух I-SYSTEM
с I-SYSTEM
система I-SYSTEM
виброизоляция I-SYSTEM
технологический I-SYSTEM
оборудование I-SYSTEM
выполнить O
в O
форма O
прямоугольный B-COMPONENT
параллелепипед I-COMPONENT
, O
